,Stadt/Gemeinde,Verwaltungseinheit,Gemeindeschlüssel,Bundesland,Gemeinde+Bundesland,5stellig
0,Aach,Gemeinde,7235001,Rheinland-Pfalz,"Aach, Rheinland-Pfalz",7235
1,Aach,Stadt,8335001,Baden-Württemberg,"Aach, Baden-Württemberg",8335
2,Aachen,Stadt,5334002,Nordrhein-Westfalen,"Aachen, Nordrhein-Westfalen",5334
3,Aalen,Stadt,8136088,Baden-Württemberg,"Aalen, Baden-Württemberg",8136
4,Aarbergen,Gemeinde,6439001,Hessen,"Aarbergen, Hessen",6439
5,Aasbüttel,Gemeinde,1061001,Schleswig-Holstein,"Aasbüttel, Schleswig-Holstein",1061
6,Abenberg,Stadt,9576111,Bayern,"Abenberg, Bayern",9576
7,Abenberger Wald,Gemeindefreies Gebiet,9576451,Bayern,"Abenberger Wald, Bayern",9576
8,Abensberg,Stadt,9273111,Bayern,"Abensberg, Bayern",9273
9,Abentheuer,Gemeinde,7134001,Rheinland-Pfalz,"Abentheuer, Rheinland-Pfalz",7134
10,Absberg,Gemeinde,9577111,Bayern,"Absberg, Bayern",9577
11,Abstatt,Gemeinde,8125001,Baden-Württemberg,"Abstatt, Baden-Württemberg",8125
12,Abtsbessingen,Gemeinde,16065001,Thüringen,"Abtsbessingen, Thüringen",16065
13,Abtsgmünd,Gemeinde,8136002,Baden-Württemberg,"Abtsgmünd, Baden-Württemberg",8136
14,Abtsteinach,Gemeinde,6431001,Hessen,"Abtsteinach, Hessen",6431
15,Abtswind,Gemeinde,9675111,Bayern,"Abtswind, Bayern",9675
16,Abtweiler,Gemeinde,7133001,Rheinland-Pfalz,"Abtweiler, Rheinland-Pfalz",7133
17,Achberg,Gemeinde,8436001,Baden-Württemberg,"Achberg, Baden-Württemberg",8436
18,Achern,Stadt,8317001,Baden-Württemberg,"Achern, Baden-Württemberg",8317
19,Achim,Stadt,3361001,Niedersachsen,"Achim, Niedersachsen",3361
20,Achslach,Gemeinde,9276111,Bayern,"Achslach, Bayern",9276
21,Achstetten,Gemeinde,8426001,Baden-Württemberg,"Achstetten, Baden-Württemberg",8426
22,Acht,Gemeinde,7137001,Rheinland-Pfalz,"Acht, Rheinland-Pfalz",7137
23,Achtelsbach,Gemeinde,7134002,Rheinland-Pfalz,"Achtelsbach, Rheinland-Pfalz",7134
24,Achterwehr,Gemeinde,1058001,Schleswig-Holstein,"Achterwehr, Schleswig-Holstein",1058
